# ---
# experiment_id: BO_3_Zuyang_20251110_172227
# experiment_name: BO_3
# operator_name: Zuyang
# target_compound: MOF
# project_id: None
# sample_type: MOF_synthesis
# solvent: triethylamine/methanol
# temperature_c: 25
# notes: synthesize 5 vials
# created_at: 2025-11-10T17:22:27.582506
# instrument_serial: 2
# measurement_timestamp: 2025-11-10T17:43:19.900337
# well_id: A4
# slot: Well A4 form UWSUNLab 10 Well Plate 14000 µL on slot 5
# pixels: 2068
# integration_time_us: 50000
# scans_averaged: 10
# boxcar_width: 10
# dark_id: dark_20251110_172323
# white_id: white_20251110_172336
# wavelength_unit: nm
# absorbance_unit: a.u.
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 2.1
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 0.1
# solvent_name: triethylamine/methanol
# solvent_vol_ml: 5.8
# total_volume_ml: 8.0
# ---
wavelength_nm,0 min,0 min-2,0 min-3,15 min,15 min-2,15 min-3,30 min,30 min-2,30 min-3,45 min,45 min-2,45 min-3,60 min,60 min-2,60 min-3,75 min,75 min-2,75 min-3,90 min,90 min-2,90 min-3,105 min,105 min-2,105 min-3,120 min,120 min-2,120 min-3,135 min,135 min-2,135 min-3,150 min,150 min-2,150 min-3,165 min,165 min-2,165 min-3,180 min,180 min-2,180 min-3
194.0,-0.0076972382748268,-0.0116458987206871,-0.0136068297039016,0.0028093698838438,-0.0020627297510444,-0.0059503237100308,0.003613040560689,-0.0003580263769102,-0.0034378452305932,0.0011901471938225,-0.0114398046260581,0.0015168104175433,0.0062806929770829,0.0003746222844319,0.0041222552508345,0.0039414632633275,0.0053236988463301,0.0010105982294379,0.0150740461418734,-0.0044542660734555,-0.0008132442381631,0.0036129828503247,-0.0006994883452605,0.0008474566036476,0.0059009331279509,0.0035801508634433,0.008765477214947,0.0165429355301149,0.0148380984204681,0.0094304999851307,0.0178132357951675,0.0147875627105254,0.0113815058896075,0.0115820956583224,0.0053731313598437,0.0009616108708794,0.0141479141796914,0.0054390797449385,0.0059009791980096276
194.6,-0.007980635433503,-0.0104798459350596,-0.0144489090727891,0.0004342335939203,-0.0020502381126441,-0.0064112982641439,0.0028044974592476,0.0003064597073446,-0.0028752369170723,0.0004981306206746,-0.0116619633485859,0.0033187334259099,0.004477832493548,-0.0001403830914417,0.0024834320260452,0.0035759843088676,0.0064166726667555,0.0013295695498442,0.0169723865177826,-0.0035721110651875,-0.0014781450504782,0.0017778724312417,-0.0025581154362649,-0.0005867414976791,0.0045423071638751,0.0026759873734662,0.0077140900080591,0.0166406429960296,0.0144577223497033,0.0074543085870288,0.0173707136766325,0.014787765530867,0.0114330514557891,0.0106474449892033,0.0045422946328663,0.0029329568061343,0.0125483843212009,0.0055754355445639,0.006092972489421318
195.1,-0.008298090987076,-0.0096459294838079,-0.0145727234132589,0.0003629336578873,-0.0005906351940678,-0.0059138191973685,0.0007230122876394,0.0011460884024407,-0.0038729640004829,0.001036383199609,-0.0119186055599609,0.0017265998393083,0.0042140136015838,0.0005664076296174,0.0031259843379862,0.0036775248220077,0.0061445105109686,0.0025908448812213,0.0166584754900306,-0.0037644810490032,-0.0011679924801683,0.0002220521930929,-0.0026469387438902,-0.0017601682476602,0.004198210885517,0.0025121448837364,0.0058908603642558,0.0153767632740048,0.0145513660975926,0.0065253245943856,0.0153281489385106,0.0165447287391511,0.0106559832644937,0.0107200752241733,0.0039456613236512,0.0017579274012355,0.0119880426134757,0.0036302041995773,0.006223856229330611
195.7,-0.0082670175827941,-0.0087480816790362,-0.0134108493477963,0.0008839874074658,-0.0017808626661881,-0.004125848926806,0.0005461456545515,0.0018066876566297,-0.0037612257043455,0.0021455310422011,-0.0118323277007329,0.0017759535588087,0.0050517136432098,0.0018374785566102,0.0048346454801474,0.0046176339789496,0.0074780953058449,0.0048966616170422,0.0179922108511147,-0.0036092229945986,-0.0002819763399249,0.0020222236754453,-0.0009250029902296,-0.0013225607612363,0.0042149456342272,0.002453723339783,0.0057347234137176,0.0170663443820587,0.0155064984127739,0.0074781263189695,0.0162697851184925,0.0147762615885123,0.0085087624815653,0.0093851590527914,0.0039673143544633,0.002700497597699,0.0118044258716538,0.0035961583179085,0.005703678205285691
196.2,-0.0078201363149258,-0.0098262135577811,-0.0139857386411545,0.000373503637109,-0.0024946812986012,-0.0045999494397138,8.733464705448592e-05,0.0009463856703979,-0.0027490506230472,0.0026848009092982,-0.0122769678045691,0.0027454247109735,0.0048409501171151,0.00277566947073,0.0042477149248286,0.0049931941403022,0.0072527211828222,0.0053740766963985,0.015988435175171,-0.0042274283671884,-0.0018805870721917,0.0008105841742661,0.0002077946627581,-0.0028686905510946,0.0049170570148489,0.0035641465795644,0.0060299169872021,0.0164102858542929,0.014896526472091,0.0081107860664939,0.016895169096196,0.0145383769782581,0.0073905251913465,0.0078194530486225,0.0037007641963816,0.0033213921037032,0.0103557641725266,0.0035186230781212,0.004917103503254173
196.8,-0.0081745214928998,-0.0116511194810706,-0.0139534705944116,0.0009970900948117,-0.0025534180201947,-0.0058412450887579,-0.0004266011718345,0.0007594662946084,-0.0030246351175064,0.0026639823834888,-0.0123431133790047,0.0033803593797933,0.0031413773470083,0.0024254417170736,0.00290261940827,0.0026639405772131,0.0055364268972916,0.0052963643556793,0.0157425004826719,-0.0053730862814538,-0.0042004380156284,-0.0004266628226037,-0.0011367080213537,-0.0051387922721847,0.004337248810776,0.0029025763624598,0.0055364544120215,0.0169736004789353,0.0140247233714703,0.0086699188191301,0.0154966387380158,0.0152510082028066,0.008911883452296,0.0089118697707722,0.0021870166867607,0.0031413751202012,0.0093962013234159,0.0021870243874966,0.004337294518358608
197.3,-0.0082280672081945,-0.0106228939728392,-0.0136262044205381,0.0021145707816342,-0.003716298516513,-0.0062940493246404,0.0002885533377024,0.0003905921262476,-0.0023130010282976,0.0040953305488645,-0.0105233715555538,0.0045073198821732,0.0029497546908855,0.0033019219923784,0.0037572160176327,0.0042129515325921,0.0058045110098404,0.0062033546328473,0.0167332225091964,-0.003427342227301,-0.005230236561666,-0.0004106619851322,0.0015732577824193,-0.0042792275844826,0.0045219625064466,0.0044189229122398,0.0060408228609868,0.0175363483670986,0.0153727280885655,0.0090052838012329,0.0139262182815846,0.0171724920585412,0.0111373361944494,0.0102414765734724,0.0026418349584462,0.0048901314391469,0.0104055549634503,0.0032872146679506,0.004286547300360242
197.9,-0.0077238964070905,-0.0104274164967491,-0.0127792596340629,0.0021910333708824,-0.0035797568467648,-0.0077521628440871,0.001353678234588,-0.0002874684361248,-0.0037793519932914,0.0030879247203731,-0.011128705809926,0.003203819015732,0.003609509674603,0.0029141671152007,0.0054401651643968,0.0044802746196222,0.0050617520238162,0.0053819384662453,0.0157533128160962,-0.0036938354642039,-0.0047475238156568,0.001584447107986,0.00227773439912,-0.0051455478938856,0.0039285828180623,0.0034935236049018,0.006927772958632,0.017576040276175,0.0159322329836456,0.0088018289965751,0.012603916438596,0.0159024201794491,0.011126306969542,0.0093597263995489,0.0027694036186861,0.0032616929010325,0.0099183406525854,0.0035805018977487,0.005789747016333205
198.4,-0.0073294204445806,-0.0076645987628944,-0.0131581092177745,0.0019482068382411,-0.0046667121763472,-0.007259575229787,0.002533792477585,0.0014631715052522,-0.0050741824597467,0.0022480509099207,-0.0096008052348743,0.0027625742446686,0.0050852882211918,0.0035927078445332,0.0056175712518274,0.0058047107252582,0.0054016807761405,0.0058767517252339,0.0154292915505383,-0.0044980025864632,-0.0041462778606141,0.0011638260768794,0.0024194618545067,-0.0042869898242489,0.0039510154236905,0.0059487247830017,0.0072471659699922,0.0173031287900772,0.0152231879384546,0.0087524065247247,0.0135780742570828,0.0162398070060063,0.0108015137906128,0.0105102562657152,0.0041804861033788,0.0043383505898663,0.0093617288532419,0.0028626030684565,0.006251392254283048
199.0,-0.0069084008379343,-0.0075722249127379,-0.0117530762405011,0.0022106091281193,-0.0054666167438048,-0.0082902544495298,0.0014762542381859,0.0009685690177418,-0.0051887988662696,0.0037397808312751,-0.0093925448491573,0.0032861660810113,0.0054451621918504,0.0036263064596322,0.0065287550359466,0.0062433183141258,0.0080731958340908,0.0068715048133199,0.0147138006012614,-0.0039085602343963,-0.0037412799045382,0.0023801809983058,0.0032861153117788,-0.0029598372582087,0.0042506630969378,0.0054451479371128,0.0085319056658106,0.0182777920113645,0.016229287873347,0.0076150444550576,0.0148301316540072,0.0173401539719493,0.0130875699348992,0.0128557370446273,0.0053881844751793,0.0027197071940448,0.0095656799925766,0.0047053101037331,0.006072200710756653
