# ---
# experiment_id: initial sampling_Zuyang_20251106_124700
# experiment_name: initial sampling
# operator_name: Zuyang
# target_compound: MOF
# project_id: None
# sample_type: MOF_synthesis
# solvent: triethylamine/methanol
# temperature_c: 25
# notes: synthesize 5 vials
# created_at: 2025-11-06T12:47:00.792883
# instrument_serial: 2
# measurement_timestamp: 2025-11-06T13:04:50.884585
# well_id: A3
# slot: Well A3 form UWSUNLab 10 Well Plate 14000 µL on slot 2
# pixels: 2068
# integration_time_us: 50000
# scans_averaged: 10
# boxcar_width: 10
# dark_id: dark_20251106_124755
# white_id: white_20251106_124806
# wavelength_unit: nm
# absorbance_unit: a.u.
# metal_precursor_name: Co+2
# metal_precursor_vol_ml: 0.1
# organic_precursor_name: 2-methylimidazole
# organic_precursor_vol_ml: 0.1
# solvent_name: triethylamine/methanol
# solvent_vol_ml: 7.8
# total_volume_ml: 8.0
# ---
wavelength_nm,0 min,0 min-2,0 min-3,15 min,15 min-2,15 min-3,30 min,30 min-2,30 min-3,45 min,45 min-2,45 min-3,60 min,60 min-2,60 min-3,75 min,75 min-2,75 min-3,90 min,90 min-2,90 min-3,105 min,105 min-2,105 min-3,120 min,120 min-2,120 min-3,135 min,135 min-2,135 min-3,150 min,150 min-2,150 min-3,165 min,165 min-2,165 min-3,180 min,180 min-2,180 min-3
194.0,0.0205378504397399,0.0104017028896118,0.0111774204150243,0.0165316308095966,0.0120493900575666,0.0178757496732417,0.0142561243953167,0.0249916968516359,0.0199963850594416,0.0176835014700568,0.0098538406892537,0.0215839966182075,0.0220691808100047,0.0078384043116003,0.0170112089264123,0.0009588925515978,0.0150387564662736,0.018145096170567,0.0304804673000409,0.0286234407611205,0.0320473206940841,0.0158037239609887,0.0146759154394851,0.0181066042324643,0.0207120322439579,0.0243470645690328,0.0378681718304301,0.0081956417944329,0.007688091280836,0.0055144180673129,0.0260878442953491,0.0230022383746872,0.0254220077339977,0.0235085254150149,0.0198031711465002,0.0257939491525417,0.0297287799793015,0.042931925449723,0.0391184714381612
194.6,0.0217268482028751,0.0122851167136526,0.0123592358582663,0.0178053434561738,0.0133984016753709,0.0206675615434567,0.01488728230492,0.0272924629558052,0.0223333012698519,0.0172051848393356,0.0104359045290624,0.021575364739507,0.0237770667532922,0.0075667709892489,0.019083491501888,0.0005118844650019,0.0146636058658399,0.0193094417123266,0.0327748965084399,0.0301408648467461,0.0317658807207974,0.016456130762083,0.0165309631511687,0.0188576633601247,0.0218026088528765,0.0238531884946012,0.0395096504859422,0.0104359352201627,0.0069805659963594,0.005810540240178,0.024233984261393,0.0231685728346201,0.0262195558236092,0.0236248882619454,0.0194601146018811,0.0261429991147324,0.0301408495991589,0.0444305098928469,0.03903635725400068
195.1,0.0217960489659987,0.011264051821751,0.0109559761291818,0.0182446391583884,0.0139005368483368,0.0207942675696657,0.014411514290077,0.0302541780969491,0.0220189689816356,0.0159663782411881,0.01048524879041,0.0210908572620999,0.0210723146477119,0.0085173213481131,0.019406756538185,0.0003975830444446,0.0146854754504606,0.0193513528166228,0.0333139482220453,0.0290249434258156,0.0304435965356932,0.0177659661835537,0.01635136503363,0.0187976448217229,0.0226698457960197,0.0238065554299623,0.040350983749104,0.0100512088560794,0.0077973776295655,0.0052869496365708,0.0246844066611041,0.0225581890278167,0.0265205633903636,0.0238625557202358,0.0192405340695748,0.0263140572782796,0.0316008426789518,0.0445189455982967,0.038532727517739784
195.7,0.0200468823480716,0.0113453648664354,0.0123789414582161,0.0194661434183899,0.013737039102133,0.0214291939529135,0.0138802552409193,0.0315662402726417,0.0219395885977978,0.0147046244829423,0.0090375789073469,0.0208466364773924,0.0195749856616512,0.0090729736749248,0.0196475507579483,-7.28516293183759e-05,0.0157821720336255,0.019611271403443,0.0340722613671623,0.0311561721646458,0.0314916541744201,0.0169346117042314,0.014955814172402,0.0195387027411577,0.02431715267233,0.0248676821852431,0.0426336796824666,0.0121649221383615,0.0079412302900068,0.0024658478699717,0.0238772493887941,0.0219031143346624,0.0255660252214798,0.0246107063664914,0.0180900411348274,0.0272982859488007,0.0302628475833307,0.0445507969815107,0.0392040041648376
196.2,0.0177219034234504,0.0124655410032762,0.0119924031499332,0.0191438893604283,0.0154739687763288,0.0202491518714938,0.0138528089788499,0.0312944993937454,0.022360525176138,0.0128514351864062,0.0092340813034436,0.0199636660247168,0.019197321142388,0.0100876258540657,0.0198031591166239,-6.305721577035e-05,0.0161983868974529,0.0186456785978973,0.0326698776058477,0.0313860449987265,0.0306724266021798,0.0160569894788592,0.0157918851837982,0.0201777723181943,0.022378463577968,0.0237978329279467,0.0420646831277515,0.0124480197159638,0.0088339903169539,0.001318897804969,0.0230246981004907,0.0232043630283802,0.0260170118490772,0.02439212777794,0.0160569643442833,0.0264332114235752,0.0303617197231197,0.0430041346134217,0.038885590275206466
196.8,0.0178337623809761,0.010908818216029,0.010908800755233,0.019512292147511,0.0139421748606294,0.0197926793810484,0.0131127986297725,0.0311593466662582,0.0206349373583739,0.0133891064990409,0.0078964773442908,0.0195123025320779,0.0189520705120019,0.010908802500648,0.0195123063988701,-0.0004821311888122,0.0150504825177408,0.0167183245435376,0.0323125509048382,0.0320239508074802,0.0311593459392575,0.0183925708515315,0.0150505184536596,0.0203540154649434,0.022324370476371,0.0245872235550046,0.0434234617276389,0.0114587796933854,0.006806222723189,0.0013957425509628,0.0228889890874245,0.0226065815782399,0.0260075230934175,0.0226066078899935,0.0175546225525916,0.0248708914055785,0.0305838863175516,0.041650081495819,0.039883935687649946
197.3,0.018560518273524,0.0102673956287443,0.0096424486470598,0.02049433646348,0.0127931221730761,0.019699038005659,0.0102842857977197,0.0302771250562835,0.0201483753304583,0.013695130244273,0.0085299541579228,0.0210831115450435,0.0187845379580713,0.0104026184171438,0.0176483887644418,0.0007219395000025,0.0137291566237611,0.0151968887649086,0.0309324886255885,0.0318907286883359,0.0311629830935863,0.019077679255096,0.014940536387198,0.0203213326458368,0.0231849130913418,0.0237599114420172,0.0439959786188773,0.0121815614791601,0.0048920928062653,0.0009700408204378,0.0233939241379145,0.0204424253629931,0.0255244870614329,0.0220719703376109,0.0157784992255741,0.023167490049156,0.0303302201969406,0.0427919994467956,0.039814716003928524
197.9,0.0175118997370657,0.0092510587275291,0.0098835019160766,0.0213256053951977,0.0118198916595766,0.021941655212583,0.009550518987301,0.0295775667951936,0.0200961094712104,0.0130597351940707,0.0079557225883842,0.0194826777907988,0.0198574577681415,0.0103167736970144,0.0165298474932902,0.0009812042877885,0.0152800647836826,0.0149429543224975,0.0300309486250754,0.0299611571707171,0.0296472875681718,0.0179868010839241,0.0133618372335775,0.0196189232157546,0.0217019869603151,0.0222843072140327,0.0435691280855951,0.0116861030982415,0.0047506289679621,0.0009485800353591,0.0243113521786723,0.018768075423584,0.0257601289112735,0.0222500460917089,0.0152800951720212,0.0222157400084044,0.0296821453386344,0.0420598027790716,0.03991271006905399
198.4,0.0181939161265873,0.0088611895741814,0.0109857121445033,0.0206178317593171,0.0120105190085739,0.0209893433359076,0.0110187390670391,0.0290204062300794,0.0201454503103504,0.0135855283091733,0.0082537349330773,0.019639910573357,0.0193873548096018,0.0095188357307243,0.0160673084895344,0.0010298113795222,0.0152828896328187,0.0182610574755925,0.0290031998108223,0.0290376092818807,0.0285731856692612,0.0183618218191554,0.0129714284019347,0.0198420602496042,0.0217164218321914,0.0231232878435867,0.041325963083403,0.0110187650125058,0.0051965503577411,-4.99134750559398e-05,0.0239559888308348,0.0180428551310063,0.0250119115015043,0.0225294928765608,0.0156832760493264,0.0208542109619553,0.0294508563266636,0.0440609971989791,0.040159029531973
199.0,0.0188367686062412,0.0089613547962455,0.0112455923756371,0.0207052956096171,0.0121626696385185,0.0229850884387199,0.0105917286486966,0.0287375373639017,0.0204378672036663,0.0130160138975805,0.0079860513935314,0.0205715712206853,0.0194364930129324,0.0105263890813282,0.0171751887559833,0.000516770572753,0.0168435934826604,0.018836761141364,0.0293511038098898,0.0289419554210572,0.0280568148356509,0.0184374256963636,0.0136077383299106,0.0203042269540366,0.0252093502902024,0.0247366008332911,0.0413870226756623,0.0111147716599954,0.0053313253770307,-5.7398013395317335e-05,0.0257502998303923,0.0197032892454946,0.0248041239563584,0.02197785876564,0.0147276619100573,0.0221790882020007,0.0283970385390471,0.0426513504915491,0.040126329026874664
